Vector:  

Add and Find:
2310 0.81 388080
2320 0.816 389760
2330 0.825 391440
2340 0.832 393120
2350 0.839 394800
2360 0.846 396480
2370 0.853 398160
2380 0.86 399840
2390 0.867 401520
2400 0.875 403200
2410 0.881 404880
2420 0.891 406560
2430 0.898 408240
2440 0.906 409920
2450 0.914 411600
2460 0.922 413280
2470 0.929 414960
2480 0.937 416640
2490 0.945 418320
2500 0.952 420000
2510 0.96 421680
2520 0.966 423360
2530 0.974 425040
2540 0.982 426720
2550 0.99 428400
2560 1 430080
2570 1.014 431760
2580 1.024 433440
2590 1.032 435120
2600 1.041 436800
2610 1.049 438480
2620 1.059 440160
2630 1.067 441840
2640 1.079 443520
2650 1.088 445200
2660 1.097 446880
2670 1.105 448560
2680 1.113 450240
2690 1.122 451920
2700 1.129 453600
2710 1.137 455280
2720 1.145 456960
2730 1.153 458640
2740 1.161 460320
2750 1.169 462000
2760 1.177 463680
2770 1.185 465360
2780 1.193 467040
2790 1.2 468720
2800 1.209 470400
2810 1.216 472080
2820 1.225 473760
2830 1.232 475440
2840 1.241 477120
2850 1.248 478800
2860 1.257 480480
2870 1.265 482160
2880 1.274 483840
2890 1.282 485520
2900 1.29 487200
2910 1.298 488880
2920 1.306 490560
2930 1.314 492240
2940 1.324 493920
2950 1.332 495600
2960 1.34 497280
2970 1.349 498960
2980 1.358 500640
2990 1.366 502320
3000 1.375 504000
3010 1.383 505680
3020 1.393 507360
3030 1.401 509040
3040 1.41 510720
3050 1.42 512400
3060 1.429 514080
3070 1.437 515760
3080 1.446 517440
3090 1.455 519120
3100 1.463 520800
3110 1.472 522480
3120 1.481 524160
3130 1.49 525840
3140 1.498 527520
3150 1.507 529200
3160 1.516 530880
3170 1.526 532560
3180 1.535 534240
3190 1.545 535920
3200 1.554 537600
3210 1.562 539280
3220 1.572 540960
3230 1.58 542640
3240 1.59 544320
3250 1.599 546000
3260 1.609 547680
3270 1.617 549360
3280 1.628 551040
3290 1.637 552720
3300 1.646 554400
3310 1.655 556080
3320 1.664 557760
3330 1.673 559440
3340 1.682 561120
3350 1.692 562800
3360 1.701 564480
3370 1.711 566160
3380 1.721 567840
3390 1.73 569520
3400 1.74 571200
3410 1.749 572880
3420 1.759 574560
3430 1.769 576240
3440 1.778 577920
3450 1.788 579600
3460 1.797 581280
3470 1.808 582960
3480 1.818 584640
3490 1.828 586320
3500 1.838 588000
3510 1.847 589680
3520 1.857 591360
3530 1.867 593040
3540 1.877 594720
3550 1.887 596400
3560 1.896 598080
3570 1.906 599760
3580 1.916 601440
3590 1.927 603120
3600 1.938 604800
3610 1.948 606480
3620 1.958 608160
3630 1.967 609840
3640 1.977 611520
3650 1.988 613200
3660 1.997 614880
3670 2.008 616560
3680 2.017 618240
3690 2.028 619920
3700 2.039 621600
3710 2.049 623280
3720 2.059 624960
3730 2.071 626640
3740 2.082 628320
3750 2.093 630000
3760 2.104 631680
3770 2.115 633360
3780 2.126 635040
3790 2.14 636720
3800 2.151 638400
3810 2.163 640080
3820 2.175 641760
3830 2.188 643440
3840 2.199 645120
3850 2.212 646800
3860 2.224 648480
3870 2.234 650160
3880 2.247 651840
3890 2.258 653520
3900 2.268 655200
3910 2.279 656880
3920 2.29 658560
3930 2.3 660240
3940 2.311 661920
3950 2.321 663600
3960 2.332 665280
3970 2.343 666960
3980 2.355 668640
3990 2.365 670320
4000 2.376 672000
4010 2.387 673680
4020 2.397 675360
4030 2.408 677040
4040 2.42 678720
4050 2.43 680400
4060 2.442 682080
4070 2.453 683760
4080 2.464 685440
4090 2.475 687120
4100 2.488 688800
4110 2.5 690480
4120 2.513 692160
4130 2.526 693840
4140 2.539 695520
4150 2.551 697200
4160 2.563 698880
4170 2.577 700560
4180 2.59 702240
4190 2.602 703920
4200 2.614 705600
4210 2.627 707280
4220 2.64 708960
4230 2.654 710640
4240 2.666 712320
4250 2.679 714000
4260 2.692 715680
4270 2.706 717360
4280 2.718 719040
4290 2.731 720720
4300 2.744 722400
4310 2.757 724080
4320 2.771 725760
4330 2.783 727440
4340 2.798 729120
4350 2.811 730800
4360 2.824 732480
4370 2.838 734160
4380 2.852 735840
4390 2.865 737520
4400 2.879 739200
4410 2.892 740880
4420 2.906 742560
4430 2.919 744240
4440 2.932 745920
4450 2.946 747600
4460 2.96 749280
4470 2.974 750960
4480 2.987 752640
4490 3 754320
4500 3.013 756000
4510 3.027 757680
4520 3.04 759360
4530 3.054 761040
4540 3.067 762720
4550 3.083 764400
4560 3.097 766080
4570 3.11 767760
4580 3.124 769440
4590 3.139 771120
4600 3.152 772800
4610 3.166 774480
4620 3.18 776160
4630 3.194 777840
4640 3.208 779520
4650 3.223 781200
4660 3.24 782880
4670 3.256 784560
4680 3.273 786240
4690 3.289 787920
4700 3.306 789600
4710 3.322 791280
4720 3.34 792960
4730 3.354 794640
4740 3.367 796320
4750 3.381 798000
4760 3.395 799680
4770 3.409 801360
4780 3.423 803040
4790 3.438 804720
4800 3.452 806400
4810 3.466 808080
4820 3.48 809760
4830 3.495 811440
4840 3.509 813120
4850 3.524 814800
4860 3.538 816480
4870 3.552 818160
4880 3.567 819840
4890 3.581 821520
4900 3.595 823200
4910 3.61 824880
4920 3.624 826560
4930 3.639 828240
4940 3.654 829920
4950 3.668 831600
4960 3.682 833280
4970 3.697 834960
4980 3.712 836640
4990 3.726 838320
5000 3.741 840000
5010 3.756 841680
5020 3.771 843360
5030 3.787 845040
5040 3.802 846720
5050 3.816 848400
5060 3.832 850080
5070 3.846 851760
5080 3.862 853440
5090 3.877 855120
5100 3.892 856800
5110 3.907 858480
5120 3.922 860160
5130 3.937 861840
5140 3.952 863520
5150 3.966 865200
5160 3.982 866880
5170 3.997 868560
5180 4.013 870240
5190 4.028 871920
5200 4.043 873600
5210 4.058 875280
5220 4.075 876960
5230 4.091 878640
5240 4.107 880320
5250 4.122 882000
5260 4.138 883680
5270 4.154 885360
5280 4.168 887040
5290 4.183 888720
5300 4.199 890400
5310 4.215 892080
5320 4.231 893760
5330 4.247 895440
5340 4.263 897120
5350 4.278 898800
5360 4.294 900480
5370 4.309 902160
5380 4.325 903840
5390 4.341 905520
5400 4.36 907200
5410 4.379 908880
5420 4.398 910560
5430 4.416 912240
5440 4.435 913920
5450 4.454 915600
5460 4.471 917280
5470 4.487 918960
5480 4.503 920640
5490 4.519 922320
5500 4.535 924000
5510 4.552 925680
5520 4.567 927360
5530 4.583 929040
5540 4.599 930720
5550 4.615 932400
5560 4.631 934080
5570 4.647 935760
5580 4.664 937440
5590 4.68 939120
5600 4.697 940800
5610 4.713 942480
5620 4.73 944160
5630 4.746 945840
5640 4.763 947520
5650 4.78 949200
5660 4.797 950880
5670 4.813 952560
5680 4.83 954240
5690 4.846 955920
5700 4.863 957600
5710 4.879 959280
5720 4.895 960960
5730 4.912 962640
5740 4.928 964320
5750 4.944 966000
5760 4.96 967680
5770 4.977 969360
5780 4.993 971040
5790 5.01 972720
5800 5.027 974400
5810 5.043 976080
5820 5.059 977760
5830 5.078 979440
5840 5.095 981120
5850 5.112 982800
5860 5.129 984480
5870 5.146 986160
5880 5.162 987840
5890 5.18 989520
5900 5.197 991200
5910 5.215 992880
5920 5.232 994560
5930 5.248 996240
5940 5.265 997920
5950 5.281 999600
5960 5.298 1001280
5970 5.317 1002960
5980 5.336 1004640
5990 5.354 1006320
6000 5.371 1008000
6010 5.388 1009680
6020 5.406 1011360
6030 5.423 1013040
6040 5.44 1014720
6050 5.457 1016400
6060 5.477 1018080
6070 5.496 1019760
6080 5.515 1021440
6090 5.537 1023120
6100 5.557 1024800
6110 5.577 1026480
6120 5.595 1028160
6130 5.611 1029840
6140 5.629 1031520
6150 5.647 1033200
6160 5.664 1034880
6170 5.681 1036560
6180 5.699 1038240
6190 5.716 1039920
6200 5.735 1041600
6210 5.753 1043280
6220 5.771 1044960
6230 5.789 1046640
6240 5.806 1048320
6250 5.825 1050000
6260 5.843 1051680
6270 5.861 1053360
6280 5.878 1055040
6290 5.896 1056720
6300 5.913 1058400
6310 5.931 1060080
6320 5.949 1061760
6330 5.967 1063440
6340 5.985 1065120
6350 6.004 1066800
6360 6.021 1068480
6370 6.04 1070160
6380 6.057 1071840
6390 6.077 1073520
6400 6.095 1075200
6410 6.112 1076880
6420 6.13 1078560
6430 6.148 1080240
6440 6.166 1081920
6450 6.184 1083600
6460 6.202 1085280
6470 6.222 1086960
6480 6.24 1088640
6490 6.256 1090320
6500 6.275 1092000
6510 6.294 1093680
6520 6.312 1095360
6530 6.33 1097040
6540 6.349 1098720
6550 6.367 1100400
6560 6.388 1102080
6570 6.407 1103760
6580 6.425 1105440
6590 6.445 1107120
6600 6.463 1108800
6610 6.482 1110480
6620 6.5 1112160
6630 6.52 1113840
6640 6.54 1115520
6650 6.558 1117200
6660 6.577 1118880
6670 6.597 1120560
6680 6.617 1122240
6690 6.639 1123920
6700 6.663 1125600
6710 6.684 1127280
6720 6.705 1128960
6730 6.724 1130640
6740 6.743 1132320
6750 6.761 1134000
6760 6.78 1135680
6770 6.798 1137360
6780 6.817 1139040
6790 6.837 1140720
6800 6.857 1142400
6810 6.875 1144080
6820 6.895 1145760
6830 6.912 1147440
6840 6.931 1149120
6850 6.95 1150800
6860 6.97 1152480
6870 6.989 1154160
6880 7.008 1155840
6890 7.028 1157520
6900 7.047 1159200
6910 7.068 1160880
6920 7.09 1162560
6930 7.109 1164240
6940 7.128 1165920
6950 7.147 1167600
6960 7.167 1169280
6970 7.188 1170960
6980 7.207 1172640
6990 7.226 1174320
7000 7.246 1176000
7010 7.265 1177680
7020 7.285 1179360
7030 7.305 1181040
7040 7.324 1182720
7050 7.344 1184400
7060 7.364 1186080
7070 7.386 1187760
7080 7.406 1189440
7090 7.425 1191120
7100 7.445 1192800
7110 7.465 1194480
7120 7.484 1196160
7130 7.505 1197840
7140 7.525 1199520
7150 7.544 1201200
7160 7.563 1202880
7170 7.583 1204560
7180 7.605 1206240
7190 7.624 1207920
7200 7.645 1209600
7210 7.665 1211280
7220 7.686 1212960
7230 7.708 1214640
7240 7.73 1216320
7250 7.754 1218000
7260 7.781 1219680
7270 7.805 1221360
7280 7.827 1223040
7290 7.847 1224720
7300 7.867 1226400
7310 7.889 1228080
7320 7.909 1229760
7330 7.929 1231440
7340 7.95 1233120
7350 7.972 1234800
7360 7.993 1236480
7370 8.013 1238160
7380 8.032 1239840
7390 8.054 1241520
7400 8.075 1243200
7410 8.098 1244880
7420 8.119 1246560
7430 8.139 1248240
7440 8.16 1249920
7450 8.18 1251600
7460 8.2 1253280
7470 8.222 1254960
7480 8.243 1256640
7490 8.263 1258320
7500 8.284 1260000
7510 8.305 1261680
7520 8.325 1263360
7530 8.346 1265040
7540 8.367 1266720
7550 8.39 1268400
7560 8.412 1270080
7570 8.433 1271760
7580 8.454 1273440
7590 8.475 1275120
7600 8.497 1276800
7610 8.518 1278480
7620 8.539 1280160
7630 8.56 1281840
7640 8.58 1283520
7650 8.605 1285200
7660 8.625 1286880
7670 8.647 1288560
7680 8.668 1290240
7690 8.689 1291920
7700 8.711 1293600
7710 8.731 1295280
7720 8.752 1296960
7730 8.773 1298640
7740 8.795 1300320
7750 8.816 1302000
7760 8.84 1303680
7770 8.864 1305360
7780 8.889 1307040
7790 8.914 1308720
7800 8.954 1310400
7810 8.978 1312080
7820 9 1313760
7830 9.024 1315440
7840 9.047 1317120
7850 9.07 1318800
7860 9.092 1320480
7870 9.115 1322160
7880 9.138 1323840
7890 9.159 1325520
7900 9.18 1327200
7910 9.201 1328880
7920 9.223 1330560
7930 9.245 1332240
7940 9.266 1333920
7950 9.288 1335600
7960 9.31 1337280
7970 9.331 1338960
7980 9.355 1340640
7990 9.378 1342320
8000 9.4 1344000
8010 9.423 1345680
8020 9.445 1347360
8030 9.466 1349040
8040 9.487 1350720
8050 9.517 1352400
8060 9.55 1354080
8070 9.574 1355760
8080 9.597 1357440
8090 9.62 1359120
8100 9.642 1360800
8110 9.664 1362480
8120 9.688 1364160
8130 9.71 1365840
8140 9.732 1367520
8150 9.755 1369200
8160 9.777 1370880
8170 9.799 1372560
8180 9.823 1374240
8190 9.845 1375920
8200 9.869 1377600
8210 9.894 1379280
8220 9.918 1380960
8230 9.946 1382640
8240 9.975 1384320
8250 10.005 1386000
